employer_key,employer,fiscal_year,approvals,denials,state,city
nrg energy,NRG ENERGY INC,2021;2022;2023,30,0,NJ,PRINCETON
numentica,NUMENTICA LLC,2021;2022;2023,30,1,CA,TORRANCE
p3,P3 TECHNOLOGIES INC,2021;2022;2023,30,0,TX,IRVING
panha,PANHA SOLUTIONS INC,2021;2022;2023,30,1,NY,ALBANY
peri software,PERI SOFTWARE SOLUTIONS INC,2021;2022;2023,30,1,NJ,NEWARK
pindrop security,PINDROP SECURITY INC,2021;2022;2023,30,0,GA,ATLANTA
plenty unlimited,PLENTY UNLIMITED INC,2021;2022;2023,30,1,CA,SOUTH SAN FRANCISCO
recreational equipment,RECREATIONAL EQUIPMENT INC,2021;2022;2023,30,1,WA,KENT
research triangle institute,RESEARCH TRIANGLE INSTITUTE,2021;2022;2023,30,0,NC,DURHAM
rh,"RH TECHNOLOGIES, INC.",2021;2022;2023,30,1,MA,MANSFIELD
romeo systems inc d b a romeo powe,ROMEO SYSTEMS INC D/B/A ROMEO POWE,2021;2022,30,0,CA,LOS ANGELES
royal technocrats,ROYAL TECHNOCRATS INC,2021;2022;2023,30,2,TX,HOUSTON
saint gobain performance plastics,SAINT GOBAIN PERFORMANCE PLASTICS,2021;2022;2023,30,0,OH,SOLON
servier pharmaceuticals,SERVIER PHARMACEUTICALS LLC,2021;2022;2023,30,1,MA,BOSTON
sigma computing,SIGMA COMPUTING INC,2021;2022;2023,30,0,CA,SAN FRANCISCO
singerlewak,SINGERLEWAK LLP,2021;2022;2023,30,0,CA,LOS ANGELES
softility,SOFTILITY INC,2021;2022;2023,30,0,VA,HERNDON
